소방서이름,상세주소,주소,y,x,위도,경도
세종로119안전센터,서울특별시 종로구 율곡로 78(운니동 114-2),서울특별시 종로구 율곡로 78,126.987642786,37.576777177,37.5724387,127.0079189
신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),서울특별시 종로구 자하문로 93,126.970021474,37.584292949,37.5843269,126.9700319
종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),서울특별시 종로구 돈화문로 30,126.991984175,37.571207450,37.5695762,126.9922873
연건119안전센터,서울특별시 종로구 대학로 91 (연건동),서울특별시 종로구 대학로 91,127.001840997,37.579428095,37.57919165,127.0018084
신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),서울특별시 종로구 진흥로 477,126.960857804,37.605785515,37.6085078,126.9555338
숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),서울특별시 종로구 숭인동길 63,127.021700692,37.577758937,37.5760493,127.0217865
을지로119안전센터,서울특별시 중구 을지로45길 43(신당동),서울특별시 중구 을지로45길 43,127.012011204,37.566727134,37.5665208,127.0121775
무학119안전센터,서울특별시 중구 퇴계로 394 (무학동),서울특별시 중구 퇴계로 394,127.015377774,37.564826109,37.5649203,127.0154061
충무로119안전센터,서울특별시 중구 충무로 11(충무로3가),서울특별시 중구 충무로 11,126.992912418,37.562159559,37.5674541,126.9925184
회현119안전센터,서울특별시 중구 소공로 30(회현동2가),서울특별시 중구 소공로 30,126.983368442,37.558173523,37.5604773,126.9819054
신당119안전센터,서울특별시 중구 다산로8길 2(신당동),서울특별시 중구 다산로8길 2,127.009638760,37.552926511,37.5529772,127.0096343
구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),서울특별시 광진구 광나루로 480,127.082810481,37.544742461,37.5448355,127.082865
능동119안전센터,서울특별시 광진구 능동로 242 (능동),서울특별시 광진구 능동로 242,127.077147007,37.551756492,37.5340314,127.0678046
중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),서울특별시 광진구 용마산로 150,127.086646141,37.566949370,37.5678699,127.0861846
한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),서울특별시 용산구 한강대로 167,126.971515051,37.534118559,37.5447751,126.9719446
이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),서울특별시 용산구 이태원로 196,126.995801227,37.534374714,37.5344928,126.9944907
후암119안전센터,서울특별시 용산구 후암로 34 (후암동),서울특별시 용산구 후암로 34,126.977878106,37.548943722,37.5534973,126.9747543
이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동),서울특별시 용산구 이촌로2가길 1,126.953422218,37.530052339,37.5284646,126.9534976
서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동),서울특별시 용산구 서빙고로67길 7,126.995020354,37.520813308,37.5226318,126.9943294
장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),서울특별시 동대문구 장한로 34,127.066695774,37.563818547,37.5787324,127.0722115
청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),서울특별시 동대문구 왕산로 299,127.052311960,37.587148971,37.5772562,127.0286205
전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),서울특별시 동대문구 황물로 3,127.046018193,37.576322573,37.5763315,127.0460351
용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),서울특별시 동대문구 왕산로 76,127.031736569,37.577864743,37.5772562,127.0286205
휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),서울특별시 동대문구 망우로 106,127.065141131,37.590660566,37.5907012,127.0651693
영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),서울특별시 영등포구 문래로 197,126.904180833,37.518453984,37.5183029,126.9034752
여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),서울특별시 영등포구 의사당대로 162,126.927972344,37.517227617,37.5242788,126.9219406
당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),서울특별시 영등포구 양평로 70-1,126.899192275,37.535501948,37.534826,126.9000655
대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),서울특별시 영등포구 도림로 212,126.904048445,37.497305340,37.5000592,126.9056685
신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),서울특별시 영등포구 영등포로84길 31,126.922201235,37.510456310,37.5110301,126.9219823
종암119안전센터,서울특별시 성북구 종암로27길 3 (종암동),서울특별시 성북구 종암로27길 3,127.031685855,37.602439541,37.6016104,127.0281382
돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),서울특별시 성북구 보문로 192,127.014442641,37.590990082,37.5818506,127.0212579
길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),서울특별시 성북구 정릉로 321,127.019209049,37.602822987,37.6042302,127.0267498
장위119안전센터,서울특별시 성북구 한천로 640 (장위동),서울특별시 성북구 한천로 640,127.058309383,37.615545071,37.6218796,127.0518597
진관119안전센터,서울특별시 은평구 통일로 962 (진관동),서울특별시 은평구 통일로 962,126.919788046,37.628756582,37.62867155,126.9197965
녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),서울특별시 은평구 은평로 245,126.935029061,37.601220519,37.599088,126.9159238
역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),서울특별시 은평구 갈현로 80,126.910670446,37.604982439,37.6032751,126.9104102
수색119안전센터,서울특별시 은평구 수색로 320 (수색동),서울특별시 은평구 수색로 320,126.889905814,37.585267560,37.5774108,126.9026094
삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),서울특별시 강남구 테헤란로 629,127.066833791,37.510278466,37.51035425,127.0668818
영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),서울특별시 강남구 도산대로 320,127.036934356,37.522142749,37.524951,127.0540527
역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),서울특별시 강남구 역삼로 236,127.042443761,37.497137885,37.4985382,127.0447277
수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),서울특별시 강남구 광평로31길 6,127.092845325,37.484927407,37.485454,127.089687
개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),서울특별시 강남구 논현로 10길 19,127.049894869,37.474698570,37.4747004805241,127.049895047376
세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),서울특별시 강남구 밤고개로 268,127.107217949,37.470395861,37.4649875,127.1083055
반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),서울특별시 서초구 사평대로 67,126.992021836,37.498783812,37.5030582,127.0199592
방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),서울특별시 서초구 남부순환로 2155,126.988209289,37.475505514,37.4738296,126.9935686
양재119안전센터,서울특별시 서초구 동산로 9 (양재동),서울특별시 서초구 동산로 9,127.040824138,37.469468718,37.4696368,127.0414121
서초119안전센터,서울특별시 서초구 효령로 400 (서초동),서울특별시 서초구 효령로 400,127.027596753,37.488027711,37.4880529,127.026779
잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),서울특별시 서초구 서초중앙로29길 6,127.011601334,37.499070754,37.4987971,127.0105465
우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),서울특별시 서초구 남부순환로340길 49,127.021882776,37.479572554,37.4808093,127.0226798
등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),서울특별시 강서구 양천로 550,126.860047026,37.558246341,37.5488695,126.8781594
화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),서울특별시 강서구 까치산로 49,126.845219339,37.543662528,37.5436462,126.8451928
발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),서울특별시 강서구 강서로 329,126.836859837,37.555260680,37.555264,126.8369283
방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),서울특별시 강서구 금낭화로26길 10,126.814284181,37.579796192,37.5799342,126.8154457
개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),서울특별시 강서구 개화동로19길 8,126.803148485,37.574993732,37.5752407,126.8033115
마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),서울특별시 강서구 마곡서로 9,126.820731027,37.555951408,37.5646888,126.8244827
성내119안전센터,서울특별시 강동구 성내로 39 (성내동),서울특별시 강동구 성내로 39,127.124849423,37.529549282,37.52893,127.12503
천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),서울특별시 강동구 진황도로 37,127.131356396,37.538631246,37.527768,127.1441185
고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),서울특별시 강동구 양재대로156길 133,127.151872206,37.557142141,37.5563113,127.1487911
암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),서울특별시 강동구 올림픽로 815,127.128633465,37.553982848,37.5314739,127.120885
길동119안전센터,서울특별시 강동구 천중로 215 (길동),서울특별시 강동구 천중로 215,127.144447453,37.540997704,37.5408198,127.1441083
